,node,betweenness_unweighted,betweenness_weighted,in_degree,out_degree
398,1bb2ecf93917441a,0.0,0.0,0,1
399,1bca7956af33c0e6,0.0,0.0,0,1
400,1be255c6ee3ecd83,0.0,0.0,0,1
401,1be80558f257f314,0.0,0.0,0,1
402,1beb5f2217f9fcc3,0.0,0.0,0,1
403,1c1bdfe34abad492,0.0,0.0,0,1
404,1c256e644c8a5666,0.0,0.0,0,1
405,1c3191cb9e3b4c30,0.0,0.0,0,1
406,1c41ad0193ddce17,0.0,0.0,0,1
407,1c5da78d5d978f0d,0.0,0.0,0,1
408,1c960d199514857c,0.0,0.0,0,1
409,1c96a70e25a0f560,0.0,0.0,0,1
410,1c9a10b0376f5956,0.0,0.0,0,1
411,1c9e0e4eef883f17,0.0,0.0,0,1
412,1c9e63b8807ad7ea,0.0,0.0,0,1
413,1c9f4aded69bd54e,0.0,0.0,0,1
414,1ca51d44c6291f96,0.0,0.0,0,1
415,1cada2020fe281d0,0.0,0.0,0,1
416,1cccb9d086c2a8b9,0.0,0.0,0,1
417,1ce315d1e5e2ebf8,0.0,0.0,0,1
418,1cf4923a80e6f24d,0.0,0.0,0,1
419,1cfafa761164ae3c,0.0,0.0,0,1
420,1d465ae405e1754e,0.0,0.0,0,1
421,1d5a80f05ef8bc53,0.0,0.0,0,1
422,1d6e2c370edfc997,0.0,0.0,0,1
423,1d7e428163119d3c,0.0,0.0,0,1
424,1db0e3f162a033c0,0.0,0.0,0,1
425,1dbd0f5dee27a42d,0.0,0.0,0,1
426,1ded3542b957dd27,0.0,0.0,0,1
427,1dfcfce2ecf1101c,0.0,0.0,0,1
428,1e189fb0783a30db,0.0,0.0,0,1
429,1e3c8988ca2b9ba8,0.0,0.0,0,1
430,1e6175afc9588948,0.0,0.0,0,1
431,1e6e83fdb80f1b31,0.0,0.0,0,1
432,1e75a33058a9107f,0.0,0.0,0,1
433,1e89f4ac761ef960,0.0,0.0,0,1
434,1eaf10c556af6b5b,0.0,0.0,0,1
435,1eb5888dc03e8b8b,0.0,0.0,0,1
436,1eb871a0bcee0c2e,0.0,0.0,0,1
437,1ef461fb33aaaeb1,0.0,0.0,0,1
438,1efacf34022885fb,0.0,0.0,0,1
439,1f1acebbb0d467a9,0.0,0.0,0,1
440,1f490a22eade646d,0.0,0.0,0,1
441,1f5c57b9729bf941,0.0,0.0,0,1
442,1f68cb7e791ae910,0.0,0.0,0,1
443,1f8dd84e3204326d,0.0,0.0,0,1
444,1f9484b7a248b719,0.0,0.0,0,1
445,1fa307362c6e0d63,0.0,0.0,0,1
446,1fd989de75d5dfde,0.0,0.0,0,1
447,1fe6126d405745e4,0.0,0.0,0,1
448,1ffafdee50ad44e5,0.0,0.0,0,1
449,2029c04db44e80be,0.0,0.0,0,1
450,204c120a3757bb3c,0.0,0.0,0,1
451,2054113ae26fdf70,0.0,0.0,0,1
452,2061ad69ce1cfc80,0.0,0.0,0,1
453,2065ce0301c434ef,0.0,0.0,0,1
454,206fde1f2d2b9570,0.0,0.0,0,1
455,20928f196af7a2f9,0.0,0.0,0,1
456,2097385db8cb49b7,0.0,0.0,0,1
457,209eea1de7537ca4,0.0,0.0,0,1
458,20a083546e3a177e,0.0,0.0,0,1
459,20d1170a21126955,0.0,0.0,0,1
460,20daa39e8a676c0d,0.0,0.0,0,1
461,20dbde6eae494230,0.0,0.0,0,1
462,2103d66c4c757e58,0.0,0.0,0,1
463,2119a6ab1912ac64,0.0,0.0,0,1
464,2127da503e383f59,0.0,0.0,0,1
465,2133e3f50663b9be,0.0,0.0,0,1
466,2177fcea7c7c3cf7,0.0,0.0,0,1
467,21d73fab5e1e9b58,0.0,0.0,0,1
468,21e04ba8df753c91,0.0,0.0,0,1
469,220096d7c768b746,0.0,0.0,0,1
470,220dadfd86c3f795,0.0,0.0,0,1
471,220f320465cc0958,0.0,0.0,0,1
472,221a20ae9bf3f6e5,0.0,0.0,0,1
473,222385111d9a5548,0.0,0.0,0,1
474,22292233d0e909e6,0.0,0.0,0,1
475,223ac5800687ee08,0.0,0.0,0,1
476,22633a3ee083c4e2,0.0,0.0,0,1
477,2295996b43978a57,0.0,0.0,0,1
478,22ad7ab85ad0984d,0.0,0.0,0,1
479,22b1488d0b8767ed,0.0,0.0,0,1
480,22b60c819be088ee,0.0,0.0,0,1
481,22bfb30e61e7ec31,0.0,0.0,0,1
482,22db06c8c2f93dad,0.0,0.0,0,1
483,22e6888e8a41aeed,0.0,0.0,0,1
484,22e95ee9c1979c15,0.0,0.0,0,1
485,22e9d7997c0b8cee,0.0,0.0,0,1
486,23299c77b4cf9fc7,0.0,0.0,0,1
487,232d7123f1eecb76,0.0,0.0,0,1
488,233cdb654c2d0098,0.0,0.0,0,1
489,2346ebd630c52baa,0.0,0.0,0,1
490,2357b24897b1af02,0.0,0.0,0,1
491,235bd7c4729cde00,0.0,0.0,0,1
492,237cd5e3aa2eba9e,0.0,0.0,0,1
493,238f7f16190db8f2,0.0,0.0,0,1
494,239a4a00e944a9fb,0.0,0.0,0,1
495,23ae6bd66ca56ec8,0.0,0.0,0,1
496,23bd3d67512afacd,0.0,0.0,0,1
497,23bd8650fef16a7d,0.0,0.0,0,1
498,23c243a5fa26b2c9,0.0,0.0,0,1
499,23e9dc14fe24a528,0.0,0.0,0,1
500,23f5807c0fe5df00,0.0,0.0,0,1
501,24049815586fc53f,0.0,0.0,0,1
502,24053a08bfe016cc,0.0,0.0,0,1
503,240e04c71883af25,0.0,0.0,0,1
504,24204de0a0bbb474,0.0,0.0,0,1
505,242998295ae43173,0.0,0.0,0,1
506,2457b913c322930b,0.0,0.0,0,1
507,245fd42e8d884c9c,0.0,0.0,0,1
508,247f06131da8470e,0.0,0.0,0,1
509,24889b6cb425db87,0.0,0.0,0,1
510,248a141862241279,0.0,0.0,0,1
511,24abf8d784584e38,0.0,0.0,0,1
512,24c18eccf6ffd780,0.0,0.0,0,1
513,24c6226be11a4420,0.0,0.0,0,1
514,24de2a8a342adc15,0.0,0.0,0,1
515,24e65d407761aea8,0.0,0.0,0,1
