,src,dest,wt
572,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000140.npz,p_104999,205256469
573,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000140.npz,205256469
574,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000141.npz,p_104999,205258484
575,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000141.npz,205258484
576,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000143.npz,p_104999,205262969
577,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000143.npz,205262969
578,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000144.npz,p_104999,205265047
579,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000144.npz,205265047
580,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000145.npz,p_104999,205267133
581,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000145.npz,205267133
582,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000147.npz,p_104999,205271298
583,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000147.npz,205271298
584,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000149.npz,p_104999,205275450
585,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000149.npz,205275450
586,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000150.npz,p_104999,304842601
587,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000150.npz,304842601
588,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000151.npz,p_104999,304845169
589,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000151.npz,304845169
590,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000153.npz,p_104999,304849460
591,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000153.npz,304849460
592,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000154.npz,p_104999,304851588
593,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000154.npz,304851588
594,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000155.npz,p_104999,304853723
595,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000155.npz,304853723
596,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000156.npz,p_104999,304855865
597,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000156.npz,304855865
598,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000157.npz,p_104999,304857998
599,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000157.npz,304857998
600,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000158.npz,p_104999,304860123
601,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000158.npz,304860123
602,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000159.npz,p_104999,304862249
603,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000159.npz,304862249
604,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000160.npz,p_104999,304864386
605,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000160.npz,304864386
606,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000161.npz,p_104999,304866525
607,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000161.npz,304866525
608,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000162.npz,p_104999,304868663
609,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000162.npz,304868663
610,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000165.npz,p_104999,304875061
611,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000165.npz,304875061
612,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000166.npz,p_104999,304877206
613,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000166.npz,304877206
614,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000169.npz,p_104999,304883655
615,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000169.npz,304883655
616,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000170.npz,p_104999,304885803
617,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000170.npz,304885803
618,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000171.npz,p_104999,304887937
619,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000171.npz,304887937
620,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000174.npz,p_104999,304894354
621,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000174.npz,304894354
622,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000175.npz,p_104999,304896502
623,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000175.npz,304896502
624,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000176.npz,p_104999,304898632
625,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000176.npz,304898632
626,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000177.npz,p_104999,304900766
627,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000177.npz,304900766
628,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000178.npz,p_104999,304902898
629,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000178.npz,304902898
630,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000179.npz,p_104999,304905046
631,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000179.npz,304905046
632,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000180.npz,p_104999,304907192
633,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000180.npz,304907192
634,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000181.npz,p_104999,304909331
635,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000181.npz,304909331
