,Node,InDegree,OutDegree,BetweennessCentrality,DegreeCentrality,Type
40504,p_1408717,7,2,261408.35306775462,0.00021934634788330773,process
40505,p_1778783,7,2,125578.618457935,0.00021934634788330773,process
40506,p_2675903,1,0,0.0,2.4371816431478637e-05,process
40507,p_1779934,7,2,115959.05826638918,0.00021934634788330773,process
40508,p_2978660,1,0,0.0,2.4371816431478637e-05,process
40509,p_2973996,138,0,0.0,0.003363310667544052,process
40510,p_2973718,145,0,0.0,0.0035339133825644025,process
40511,p_2972812,128,0,0.0,0.0031195925032292656,process
40512,p_1782047,174,0,0.0,0.0042406960590772825,process
40513,p_2680378,7,2,210331.45337331534,0.00021934634788330773,process
40514,p_2975812,7,2,354668.7908688517,0.00021934634788330773,process
40515,p_2978953,1,0,0.0,2.4371816431478637e-05,process
40516,p_2979659,1,0,0.0,2.4371816431478637e-05,process
40517,p_2675391,143,0,0.0,0.0034851697497014452,process
40518,p_2677480,3,2,38643.79351487917,0.00012185908215739318,process
40519,p_2676065,7,2,52593.21853293281,0.00021934634788330773,process
40520,p_2975925,1,0,0.0,2.4371816431478637e-05,process
40521,p_2676152,1,0,0.0,2.4371816431478637e-05,process
40522,p_1410353,140,0,0.0,0.003412054300407009,process
40523,p_2681276,1,0,0.0,2.4371816431478637e-05,process
40524,p_2978757,7,2,176970.83235427295,0.00021934634788330773,process
40525,p_1409205,145,0,0.0,0.0035339133825644025,process
40526,p_1780300,1,0,0.0,2.4371816431478637e-05,process
40527,p_2677577,145,0,0.0,0.0035339133825644025,process
40528,p_1408913,1,0,0.0,2.4371816431478637e-05,process
40529,p_2972858,3,2,19772.567389714906,0.00012185908215739318,process
40530,p_1784555,173,0,0.0,0.004216324242645804,process
40531,p_1778987,1,0,0.0,2.4371816431478637e-05,process
40532,p_2681959,122,0,0.0,0.0029733616046403936,process
40533,p_2680653,150,0,0.0,0.0036557724647217956,process
40534,p_2973233,7,2,391735.8459254763,0.00021934634788330773,process
40535,p_2680960,147,0,0.0,0.00358265701542736,process
40536,p_2974902,1,0,0.0,2.4371816431478637e-05,process
40537,p_2677175,1,0,0.0,2.4371816431478637e-05,process
40538,p_1411374,143,0,0.0,0.0034851697497014452,process
40539,p_1414104,135,0,0.0,0.003290195218249616,process
